Name,Ascendant
Heath Ledger,Aries
Sofia Boutella,Aries
Bryce Dallas Howard,Aries
Brie Larson,Aries
Natalie Martinez,Aries
Aisha Tyler,Aries
Melissa McBride,Aries
Vida Guerra,Aries
Megan Mullally,Aries
Kendall Jenner,Aries
Barbra Streisand,Aries
Justin Chambers,Aries
Susan Saint James,Aries
Bo Derek,Aries
Joan Rivers,Aries
Olivia Hussey,Aries
Michael Vartan,Aries
Joan Collins,Aries
Bobcat Goldthwait,Aries
Joseph Gordon-Levitt,Aries
Lucy Lawless,Aries
Amber Tamblyn,Aries
Taylor Schilling,Aries
Jeremy Renner,Aries
Rihanna,Aries
Ron Howard,Aries
Luciana Gimenez,Aries
Dick Gregory,Aries
Gloria Henry,Aries
Robert Herbin,Aries
Andrew Jackson,Aries
Robert Klein,Aries
Markus Lanz,Aries
Bernard Laporte,Aries
Nigel Lawson,Aries
Brenda Lee,Aries
Jon Voight,Aries
Donnie Wahlberg,Aries
Oliver Hudson,Aries
Chris Rock,Aries
David Spade,Aries
James Dean,Aries
Heather Locklear,Aries
Bette Midler,Aries
John Lennon,Aries
Stevie Nicks,Aries
John Entwistle,Aries
Fabio Fognini,Aries
Walt Whitman,Aries
Xavier Niel,Aries
Dennis Kucinich,Aries
Barry Bostwick,Aries
Rob Brydon,Aries
Sue Grafton,Aries
Marcel Proust,Aries
Chet Atkins,Aries
Shaquille O'Neal,Aries
Candace Parker,Aries
Denis Diderot,Aries
Marilou Berry,Aries
Basil Rathbone,Aries
Farley Granger,Aries
Gaspard Ulliel,Aries
Geraldine Chaplin,Aries
Giulietta Masina,Aries
Penélope Cruz,Aries
Sally Kirkland,Aries
Valerie Perrine,Aries
Bruce Boxleitner,Aries
Daniela Bianchi,Aries
Noah Hathaway,Aries
Sandra Dee,Aries
Errol Flynn,Aries
Lynn Redgrave,Aries
Louis Armstrong,Aries
Theodore Bikel,Aries
Margaux Hemingway,Aries
Pete Rose,Aries
Barbara Hershey,Aries
Joan Baez,Aries
Bonnie Raitt,Aries
Shakira,Aries
Lena Horne,Aries
Nico,Aries
Helen Reddy,Aries
Marianne Faithfull,Aries
Julie London,Aries
Joe Cocker,Aries
Tom Petty,Aries
David Crosby,Aries
Samuel R. Delany,Aries
Ruth Rendell,Aries
Robert Frost,Aries
Louise Bogan,Aries
Eva Perón,Aries
George Lopez,Aries
Suzy Bogguss,Aries
Corbin Bernsen,Aries
Wendell Berry,Aries
Martina Navratilova,Aries
Craig Newmark,Aries
Judd Hirsch,Aries
Alec Guinness,Aries
Janeane Garofalo,Aries
Cloris Leachman,Aries
Darren Aronofsky,Aries
Rabindranath Tagore,Aries
Barbara Cartland,Aries
Hunter S. Thompson,Aries
Mo Rocca,Aries
Marco Simone,Aries
Alice Taglioni,Aries
Amber Rose,Aries
Ezer Weizman,Aries
Roger Whittaker,Aries
Barton Zwiebach,Aries
Umberto Agnelli,Aries
Roberto Alagna,Aries
Maurizio Arena,Aries
Raymond Barre,Aries
Russell Banks,Aries
Willam Belli,Aries
Georges Bereta,Aries
Enrico Berlinguer,Aries
