Name,Sign,Ascendant
Virginia Woolf,Aquarius,Gemini
Farrah Fawcett,Aquarius,Cancer
Sharon Tate,Aquarius,Cancer
The Weeknd,Aquarius,Cancer
Adam Lambert,Aquarius,Libra
Neal McDonough,Aquarius,Libra
Yoko Ono,Aquarius,Libra
Harry Styles,Aquarius,Libra
Toni Morrison,Aquarius,Taurus
Phil Collins,Aquarius,Libra
Geena Davis,Aquarius,Libra
Jennifer Aniston,Aquarius,Libra
Bill Maher,Aquarius,Libra
Christina Ricci,Aquarius,Virgo
Franklin D. Roosevelt,Aquarius,Virgo
Taylor Lautner,Aquarius,Taurus
Michael Jordan,Aquarius,Cancer
James Spader,Aquarius,Virgo
Justin Timberlake,Aquarius,Leo
Michael B. Jordan,Aquarius,Virgo
Ronda Rousey,Aquarius,Gemini
Elizabeth Olsen,Aquarius,Virgo
Ariel Winter,Aquarius,Virgo
Lisa Marie Presley,Aquarius,Leo
Molly Ringwald,Aquarius,Cancer
Paris Hilton,Aquarius,Sagittarius
Yara Shahidi,Aquarius,Scorpio
Cristiano Ronaldo,Aquarius,Capricorn
Dr. Dre,Aquarius,Gemini
Ashton Kutcher,Aquarius,Gemini
Brandon Lee,Aquarius,Capricorn
Bobby Brown,Aquarius,Capricorn
Joseph Gordon-Levitt,Aquarius,Aries
Elijah Wood,Aquarius,Capricorn
Chris Rock,Aquarius,Aries
James Dean,Aquarius,Aries
Michael Hutchence,Aquarius,Capricorn
John Travolta,Aquarius,Cancer
Paul Newman,Aquarius,Capricorn
Tom Selleck,Aquarius,Capricorn
Robbie Williams,Aquarius,Leo
Mariska Hargitay,Aquarius,Capricorn
Bob Marley,Aquarius,Sagittarius
Billie Joe Armstrong,Aquarius,Capricorn
Ronald Reagan,Aquarius,Sagittarius
Kelly Rowland,Aquarius,Sagittarius
Denise Richards,Aquarius,Taurus
Oprah Winfrey,Aquarius,Sagittarius
Shakira,Aquarius,Aries
Neymar,Aquarius,Sagittarius
Kate Hudson,Aries,Cancer
Paul Rudd,Aries,Cancer
Eddie Murphy,Aries,Leo
Miranda Kerr,Aries,Cancer
Marvin Gaye,Aries,Cancer
Jill Scott,Aries,Cancer
Jayne Mansfield,Aries,Cancer
Mariah Carey,Aries,Cancer
Gary Oldman,Aries,Cancer
Jennifer Garner,Aries,Cancer
Tim Curry,Aries,Leo
Victoria Beckham,Aries,Cancer
Heath Ledger,Aries,Aries
Maya Angelou,Aries,Leo
Kourtney Kardashian,Aries,Pisces
Jackson Wang,Aries,Aquarius
Elle Fanning,Aries,Aquarius
Logan Paul,Aries,Capricorn
Damon Albarn,Aries,Sagittarius
Elton John,Aries,Sagittarius
Marlon Brando,Aries,Sagittarius
Chaka Khan,Aries,Scorpio
Diana Ross,Aries,Scorpio
Celine Dion,Aries,Leo
Aretha Franklin,Aries,Scorpio
James Franco,Aries,Scorpio
Jessica Chastain,Aries,Scorpio
Jessie J,Aries,Gemini
Nigel Farage,Aries,Virgo
Hugh Hefner,Aries,Virgo
Shannen Doherty,Aries,Virgo
Emma Watson,Aries,Virgo
Conan O'Brien,Aries,Virgo
Warren Beatty,Aries,Virgo
Bette Davis,Aries,Scorpio
Ewan McGregor,Aries,Libra
Adrien Brody,Aries,Virgo
Amanda Bynes,Aries,Taurus
David Letterman,Aries,Taurus
Jackie Chan,Aries,Gemini
Scott Eastwood,Aries,Taurus
Kristen Stewart,Aries,Gemini
Mandy Moore,Aries,Gemini
Priyanka Chopra,Cancer,Gemini
Liv Tyler,Cancer,Cancer
Lisa Rinna,Cancer,Gemini
Lana Del Rey,Cancer,Scorpio
Debbie Harry,Cancer,Scorpio
Selena Gomez,Cancer,Leo
Lindsay Lohan,Cancer,Gemini
Robin Williams,Cancer,Scorpio
George Michael,Cancer,Cancer
Vin Diesel,Cancer,Scorpio
Jessica Simpson,Cancer,Scorpio
Michael Phelps,Cancer,Cancer
Mike Tyson,Cancer,Leo
Jaden Smith,Cancer,Scorpio
Harrison Ford,Cancer,Libra
George W. Bush,Cancer,Leo
Courtney Love,Cancer,Libra
Benedict Cumberbatch,Cancer,Libra
Prince George of Cambridge,Cancer,Scorpio
O. J. Simpson,Cancer,Leo
Léa Seydoux,Cancer,Virgo
Ernest Hemingway,Cancer,Virgo
Donald Sutherland,Cancer,Virgo
Will Ferrell,Cancer,Virgo
Tom Hanks,Cancer,Virgo
Eva Green,Cancer,Virgo
Nikola Tesla,Cancer,Taurus
Kevin Hart,Cancer,Virgo
Frida Kahlo,Cancer,Leo
Anthony Bourdain,Cancer,Leo
Franz Kafka,Cancer,Leo
Conor McGregor,Cancer,Taurus
Julian Assange,Cancer,Sagittarius
Meryl Streep,Cancer,Leo
Princess Diana,Cancer,Sagittarius
Gisele Bündchen,Cancer,Capricorn
Prince William,Cancer,Sagittarius
Willem Dafoe,Cancer,Capricorn
Ariana Grande,Cancer,Capricorn
Cyndi Lauper,Cancer,Aquarius
Ashley Tisdale,Cancer,Taurus
Khloé Kardashian,Cancer,Aquarius
Pamela Anderson,Cancer,Gemini
Cheryl Cole,Cancer,Sagittarius
Milo Ventimiglia,Cancer,Pisces
Sylvester Stallone,Cancer,Sagittarius
Nelson Mandela,Cancer,Sagittarius
Ringo Starr,Cancer,Pisces
Margot Robbie,Cancer,Cancer
Elon Musk,Cancer,Cancer
Mac Miller,Capricorn,Aquarius
Jason Bateman,Capricorn,Leo
Kevin Costner,Capricorn,Virgo
Jeremy Renner,Capricorn,Aries
Deepika Padukone,Capricorn,Aquarius
Isaac Newton,Capricorn,Taurus
Ava Gardner,Capricorn,Leo
Meghan Trainor,Capricorn,Aquarius
David Bowie,Capricorn,Aquarius
Marilyn Manson,Capricorn,Leo
Salman Khan,Capricorn,Pisces
Jake Paul,Capricorn,Taurus
Janis Joplin,Capricorn,Aquarius
Muhammad Ali,Capricorn,Leo
Aaliyah,Capricorn,Aquarius
John Legend,Capricorn,Capricorn
Orlando Bloom,Capricorn,Aquarius
Dolly Parton,Capricorn,Virgo
Dave Grohl,Capricorn,Capricorn
Tiger Woods,Capricorn,Virgo
Elvis Presley,Capricorn,Sagittarius
Diane von Fürstenberg,Capricorn,Scorpio
Lewis Hamilton,Capricorn,Scorpio
Nicolas Cage,Capricorn,Sagittarius
Eartha Kitt,Capricorn,Sagittarius
Edgar Allan Poe,Capricorn,Scorpio
Jim Carrey,Capricorn,Scorpio
David Lynch,Capricorn,Scorpio
