Name,Sign,Ascendant
Hilary Duff,Libra,Aquarius
Ann-Margret,Taurus,Taurus
Ewan McGregor,Aries,Libra
Jaden Smith,Cancer,Scorpio
Sharon Stone,Pisces,Virgo
Laura Prepon,Pisces,Leo
Norman Reedus,Capricorn,Scorpio
Ringo Starr,Cancer,Pisces
Joseph Gordon-Levitt,Aquarius,Aries
Miley Cyrus,Sagittarius,Taurus
Vladimir Putin,Libra,Scorpio
Winston Churchill,Sagittarius,Virgo
Debbie Harry,Cancer,Scorpio
Aretha Franklin,Aries,Scorpio
Catherine Zeta-Jones,Libra,Sagittarius
Denzel Washington,Capricorn,Libra
Justin Trudeau,Capricorn,Virgo
Isaac Newton,Capricorn,Taurus
Will Smith,Libra,Gemini
Jude Law,Capricorn,Sagittarius
Julia Roberts,Scorpio,Cancer
Vanessa Hudgens,Sagittarius,Leo
Jamie Lee Curtis,Scorpio,Sagittarius
Blake Lively,Virgo,Leo
Salvador Dali,Taurus,Cancer
Virginia Woolf,Aquarius,Gemini
Kurt Russell,Pisces,Cancer
Danny Trejo,Taurus,Taurus
Enrique Iglesias,Taurus,Scorpio
Bob Dylan,Gemini,Sagittarius
Barbra Streisand,Taurus,Aries
Dolly Parton,Capricorn,Virgo
John Lennon,Libra,Aries
Zayn Malik,Capricorn,Pisces
Oprah Winfrey,Aquarius,Sagittarius
Brendan Fraser,Sagittarius,Taurus
Naomi Watts,Libra,Scorpio
Paris Hilton,Aquarius,Sagittarius
Whitney Houston,Leo,Pisces
Tiffani Thiessen,Aquarius,Cancer
Brandi Glanville,Scorpio,Scorpio
Tucker Carlson,Taurus,Cancer
Lewis Hamilton,Capricorn,Scorpio
Kevin Hart,Cancer,Virgo
Harry Styles,Aquarius,Libra
Léa Seydoux,Cancer,Virgo
Bo Burnham,Leo,Sagittarius
Daniel Craig,Pisces,Scorpio
Sylvia Plath,Scorpio,Aquarius
Jimmy Carter,Libra,Libra
Jack Black,Virgo,Cancer
Dave Grohl,Capricorn,Capricorn
Dennis Rodman,Taurus,Capricorn
Robert Plant,Leo,Sagittarius
Krysten Ritter,Sagittarius,Pisces
Magnus Carlsen,Sagittarius,Libra
Ian Somerhalder,Sagittarius,Aquarius
Mary-Kate Olsen,Gemini,Leo
Paul Auster,Aquarius,Scorpio
Jackie Chan,Aries,Gemini
Johnny Knoxville,Pisces,Capricorn
Scott Eastwood,Aries,Taurus
Christina Hendricks,Taurus,Gemini
James Gandolfini,Virgo,Scorpio
Jim Morrison,Sagittarius,Aquarius
Kylie Jenner,Leo,Capricorn
Jessica Chastain,Aries,Scorpio
Kyle MacLachlan,Pisces,Leo
Willow Smith,Scorpio,Gemini
Chris Rock,Aquarius,Aries
Donald Trump,Gemini,Leo
Roseanne Barr,Scorpio,Aquarius
Warren Buffett,Virgo,Sagittarius
Lisa Rinna,Cancer,Gemini
Ashley Benson,Sagittarius,Scorpio
Nick Cannon,Libra,Gemini
Carrie Fisher,Libra,Capricorn
Lenny Kravitz,Gemini,Capricorn
James McAvoy,Taurus,Libra
Christina Aguilera,Sagittarius,Aquarius
Andrew Garfield,Leo,Pisces
Johnny Cash,Pisces,Pisces
Dave Chappelle,Virgo,Virgo
Brigitte Bardot,Libra,Sagittarius
Aleister Crowley,Libra,Leo
Maluma (singer),Aquarius,Aquarius
Diana Ross,Aries,Scorpio
Willem Dafoe,Cancer,Capricorn
Fred Rogers,Pisces,Taurus
Peter Dinklage,Gemini,Pisces
Lisa Marie Presley,Aquarius,Leo
Rose McGowan,Virgo,Gemini
Hailee Steinfeld,Sagittarius,Cancer
Idris Elba,Virgo,Libra
Drake (rapper),Scorpio,Leo
Tom Selleck,Aquarius,Capricorn
Halle Berry,Leo,Taurus
Britney Spears,Sagittarius,Libra
Jennifer Love Hewitt,Pisces,Scorpio
Leonardo DiCaprio,Scorpio,Libra
